id_trajectory,id_in_seq,initial state,current_state,goal_state,out_action,timesteps
7,4,"[0, 0, 1, 0, 0, 0]","[36.20678576262511, -18.262881140713937, 13.836659346613116, 0.34627485883809783, -0.23296957107535798, 0.0057458034559548]","[46.95093257513877, -15.291813618336832, 0, 0, 0, 0]","[-0.06981, 0.0]",1
7,5,"[0, 0, 1, 0, 0, 0]","[46.94712765184085, -16.143340024296716, 9.275202559460064, 0.6289229513741127, 0.7236110368629206, 0.022606996637348133]","[46.95093257513877, -15.291813618336832, 0, 0, 0, 0]",[],1
8,0,"[0, 0, 1, 0, 0, 0]","[0.0, 0.0, 4.257165346815115, 0.0, 0, 0]","[71.17052662063887, -7.427249395801, 0, 0, 0, 0]","[-0.05236, 0.0]",1
8,1,"[0, 0, 1, 0, 0, 0]","[4.745068697222255, -1.2437566999243914, 5.915146749566081, 0.6180499312841097, -0.22818002319939584, -0.00242293497127862]","[71.17052662063887, -7.427249395801, 0, 0, 0, 0]","[-0.03491, 0.0]",1
8,2,"[0, 0, 1, 0, 0, 0]","[11.457200491345448, -3.721061670062575, 8.307942752869776, 0.48567906449866777, -0.2816568397378461, 0.0025787736836813476]","[71.17052662063887, -7.427249395801, 0, 0, 0, 0]","[-0.08727, 0.0]",1
8,3,"[0, 0, 1, 0, 0, 0]","[19.49252296750274, -3.947920908384441, 7.005486415308088, 0.7274291558119749, 0.3901603449066589, 0.015502022084894596]","[71.17052662063887, -7.427249395801, 0, 0, 0, 0]","[-0.03491, 0.0]",1
8,4,"[0, 0, 1, 0, 0, 0]","[24.809848644190147, -2.86699486099718, 4.430880089164229, 0.6597689562704063, 0.1257727123592557, -0.015168405728578948]","[71.17052662063887, -7.427249395801, 0, 0, 0, 0]","[-0.06981, 0.0]",1
8,5,"[0, 0, 1, 0, 0, 0]","[29.45703534962218, -3.63498880685691, 5.230277451644027, 0.7116041035868106, -0.09955604311842234, -0.002794643487362932]","[71.17052662063887, -7.427249395801, 0, 0, 0, 0]","[-0.08727, 0.0]",1
8,6,"[0, 0, 1, 0, 0, 0]","[35.13124982433158, -4.555300204716655, 5.877604694495421, 0.751972077380726, 0.06490868528696994, 0.006660053957728084]","[71.17052662063887, -7.427249395801, 0, 0, 0, 0]","[-0.08727, 0.0]",1
8,7,"[0, 0, 1, 0, 0, 0]","[40.63563419569939, -4.531161302049889, 4.907802597613228, 0.7713867496805193, 0.18537659817469204, -0.00034759633166414746]","[71.17052662063887, -7.427249395801, 0, 0, 0, 0]","[-0.03491, 0.0]",1
8,8,"[0, 0, 1, 0, 0, 0]","[45.55674269882357, -5.260273112416443, 5.608567781638001, 0.5760956649880874, -0.20077129085083334, -0.008725602484581495]","[71.17052662063887, -7.427249395801, 0, 0, 0, 0]","[-0.05236, 0.0]",1
8,9,"[0, 0, 1, 0, 0, 0]","[51.93552637783034, -7.190296509922996, 7.500653785899269, 0.5873484480906366, -0.15759789281640227, 0.0054720117432124375]","[71.17052662063887, -7.427249395801, 0, 0, 0, 0]","[-0.01745, 0.0]",1
8,10,"[0, 0, 1, 0, 0, 0]","[59.82545466784635, -9.534653708674098, 9.084935553409817, 0.3806477342904005, -0.2942405317146397, -0.002211654701615256]","[71.17052662063887, -7.427249395801, 0, 0, 0, 0]","[-0.08727, 0.0]",1
8,11,"[0, 0, 1, 0, 0, 0]","[68.33148359219014, -9.419008653655597, 7.17539992264531, 0.7188354014198393, 0.47272909603955166, 0.017021764841978648]","[71.17052662063887, -7.427249395801, 0, 0, 0, 0]","[-0.01745, 0.0]",1
8,12,"[0, 0, 1, 0, 0, 0]","[71.16915850556477, -8.416926132019332, 5.220106036168121, 0.5137819245119024, 0.33558782059587133, -0.012585965352655045]","[71.17052662063887, -7.427249395801, 0, 0, 0, 0]",[],1
9,0,"[0, 0, 1, 0, 0, 0]","[0.0, 0.0, 4.257165346815115, 0.0, 0, 0]","[40.09831481238927, -11.827012107477554, 0, 0, 0, 0]","[-0.0, 0.0]",1
9,1,"[0, 0, 1, 0, 0, 0]","[4.833593742993324, -1.9561447297269416, 7.023492212473488, 0.33250685111525674, -0.53210536563414, -0.011984719408558431]","[40.09831481238927, -11.827012107477554, 0, 0, 0, 0]","[-0.01745, 0.0]",1
9,2,"[0, 0, 1, 0, 0, 0]","[12.372279371580719, -7.233444356472249, 11.197549274327457, 0.32787400882419043, -0.564533901982353, 0.002735608037242335]","[40.09831481238927, -11.827012107477554, 0, 0, 0, 0]","[-0.01745, 0.0]",1
9,3,"[0, 0, 1, 0, 0, 0]","[23.22822619002, -13.511724361467497, 13.559370944272544, 0.3349177053291896, -0.4204654156306958, 0.005765728648799595]","[40.09831481238927, -11.827012107477554, 0, 0, 0, 0]","[-0.05236, 0.0]",1
9,4,"[0, 0, 1, 0, 0, 0]","[35.78372959327274, -14.373097507344063, 11.173344066444972, 0.5936515777120107, 0.3642038395049206, 0.019782391929325887]","[40.09831481238927, -11.827012107477554, 0, 0, 0, 0]","[-0.03491, 0.0]",1
9,5,"[0, 0, 1, 0, 0, 0]","[40.09111995050529, -12.64717232906352, 8.662926281882251, 0.4616281424042821, 0.4828609603458576, 0.004924768057491905]","[40.09831481238927, -11.827012107477554, 0, 0, 0, 0]",[],1
10,0,"[0, 0, 1, 0, 0, 0]","[0.0, 0.0, 4.257165346815115, 0.0, 0, 0]","[51.225133232414144, -20.8957408925407, 0, 0, 0, 0]","[-0.03491, 0.0]",1
10,1,"[0, 0, 1, 0, 0, 0]","[4.79506777490283, -1.4638811882184906, 6.2839991154031045, 0.5314843830004248, -0.32338538143675755, -0.00500913924473525]","[51.225133232414144, -20.8957408925407, 0, 0, 0, 0]","[-0.0, 0.0]",1
10,2,"[0, 0, 1, 0, 0, 0]","[11.682399589586774, -5.75692616650064, 10.226589339878446, 0.2153004177941904, -0.6477487511927095, -0.006674155850325402]","[51.225133232414144, -20.8957408925407, 0, 0, 0, 0]","[-0.0, 0.0]",1
10,3,"[0, 0, 1, 0, 0, 0]","[20.73149290395046, -14.163832494899971, 14.415060910264364, 0.1413280137784316, -0.7954540309705902, -0.0032081733452713665]","[51.225133232414144, -20.8957408925407, 0, 0, 0, 0]","[-0.03491, 0.0]",1
10,4,"[0, 0, 1, 0, 0, 0]","[33.91956222134645, -21.362435040544945, 15.196387862062466, 0.5134058117077849, -0.14687006063347435, 0.019642594263523955]","[51.225133232414144, -20.8957408925407, 0, 0, 0, 0]","[-0.01745, 0.0]",1
10,5,"[0, 0, 1, 0, 0, 0]","[47.8668523474921, -22.39033472910456, 12.720201340404394, 0.35462306146838224, 0.03679078497116878, 0.003948859429902829]","[51.225133232414144, -20.8957408925407, 0, 0, 0, 0]","[-0.08727, 0.0]",1
10,6,"[0, 0, 1, 0, 0, 0]","[51.21742023873034, -21.874573703169688, 11.466827790399067, 0.8442891962582146, 0.4052572721901785, 0.038894146631306394]","[51.225133232414144, -20.8957408925407, 0, 0, 0, 0]",[],1
11,0,"[0, 0, 1, 0, 0, 0]","[0.0, 0.0, 4.257165346815115, 0.0, 0, 0]","[43.60367026027089, -6.821762176246617, 0, 0, 0, 0]","[-0.05236, 0.0]",1
11,1,"[0, 0, 1, 0, 0, 0]","[4.745068697222255, -1.2437566999243914, 5.915146749566081, 0.6180499312841097, -0.22818002319939584, -0.00242293497127862]","[43.60367026027089, -6.821762176246617, 0, 0, 0, 0]","[-0.06981, 0.0]",1
11,2,"[0, 0, 1, 0, 0, 0]","[11.317408056427961, -2.7794741286446674, 7.126935815010951, 0.6726456842759618, -0.002996435098317557, 0.009326467714881869]","[43.60367026027089, -6.821762176246617, 0, 0, 0, 0]","[-0.01745, 0.0]",1
11,3,"[0, 0, 1, 0, 0, 0]","[18.53954231249028, -4.082139423439968, 7.857608909811721, 0.41487680159961265, -0.21793825143180423, -0.005298206161011203]","[43.60367026027089, -6.821762176246617, 0, 0, 0, 0]","[-0.0, 0.0]",1
11,4,"[0, 0, 1, 0, 0, 0]","[26.726959596760178, -7.701774124558069, 10.407150410036929, 0.2297542902021811, -0.513836508655248, -0.007170990143656316]","[43.60367026027089, -6.821762176246617, 0, 0, 0, 0]","[-0.08727, 0.0]",1
11,5,"[0, 0, 1, 0, 0, 0]","[36.58790364440859, -8.332398635390396, 8.67962072456608, 0.7426832520975567, 0.5229199131177754, 0.02554521631494805]","[43.60367026027089, -6.821762176246617, 0, 0, 0, 0]","[-0.0, 0.0]",1
